CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
1,Existing Customer,51,M,1,Graduate,Married,$80K - $120K,Blue,40,3,2,4,16179.0,0,15079.0,0.607,4778,76,0.679,0.0,0.00030653,0.99969
2,Existing Customer,41,F,3,Unknown,Married,Less than $40K,Blue,39,4,1,3,1438.3,432,706.3,0.663,4614,81,0.916,0.445,8.538e-05,0.99991
3,Attrited Customer,32,F,2,College,Married,Unknown,Blue,14,3,2,3,9408.0,2517,5861.0,0.734,8447,74,0.691,0.282,0.99399,0.00501
4,Attrited Customer,49,M,4,Graduate,Married,$80K - $120K,Blue,32,5,2,4,33195.0,0,33295.0,0.308,1164,36,0.433,0.0,0.99716,0.00284341
5,Attrited Customer,51,F,0,High School,Married,Less than $40K,Blue,47,6,3,3,4704.0,0,4807.0,0.724,2512,67,0.373,0.0,0.99653,0.00355116
6,Existing Customer,31,F,1,Uneducated,Single,Less than $40K,Blue,25,3,3,2,2286.0,1710,151.0,0.523,4799,77,0.788,0.963,0.00018498,0.99982
7,Existing Customer,31,F,0,Graduate,Married,Less than $40K,Blue,31,4,2,4,3532.0,1713,1316.0,0.595,2258,44,0.667,0.644,0.00049043,0.99951
8,Existing Customer,45,M,4,Graduate,Divorced,$60K - $80K,Blue,36,6,3,2,12590.0,1582,11083.0,0.745,1914,37,1.173,0.112,0.00018864,0.99981
9,Existing Customer,62,M,2,Unknown,Single,$60K - $80K,Blue,36,3,3,3,4753.0,0,4873.0,1.178,2392,72,0.554,0.0,0.00033512,0.99966
10,Existing Customer,51,F,3,Graduate,Single,Less than $40K,Blue,37,1,3,1,2749.0,1997,708.0,0.593,4923,85,0.733,0.687,0.00011831,0.99988
